batch	N_gene	time_mins
100	51	0.015100609235620748
101	54	0.01622571553258846
102	50	0.0242356910991172
103	56	0.02327726499643177
104	49	0.022870773313722264
105	54	0.020762146369088443
106	56	0.022998781719555456
107	50	0.022929968564615894
108	50	0.01993302380045255
109	48	0.018175039816802987
10	56	0.01794657550053671
110	54	0.024939510649225363
111	50	0.027080166118685155
112	52	0.01541549809820329
113	50	0.02121749226935208
114	52	0.016252296216165026
115	52	0.022594585746992378
116	55	0.024228347217043242
117	55	0.021632935498685887
118	54	0.021089710450420778
119	59	0.02736725228605792
11	53	0.014228815181801717
120	56	0.019327192831163607
121	51	0.023904665586693834
122	51	0.021904553449712694
123	51	0.0245461098345307
124	55	0.02390380318587025
125	50	0.021106304701728126
126	51	0.018456980384265385
127	42	0.014818290547312547
128	43	0.017700565583072602
129	42	0.019337773066945375
12	55	0.0270761132822372
130	44	0.01138283721714591
131	41	0.016528437666905423
132	40	0.01848918606992811
133	27	0.012022761434006194
134	13	0.011898018167509386
135	14	0.00803266626705105
136	31	0.012388106586877256
137	29	0.012261704832781106
138	43	0.02976729815127328
139	49	0.015379986031136165
13	51	0.017787347051004567
140	51	0.01911932633568843
141	53	0.026662101534505687
142	51	0.01598200968389089
143	48	0.015208245833249142
144	52	0.02399730388618385
145	55	0.019237513281404973
146	47	0.01577710941977178
147	47	0.019608295600240428
148	55	0.01831593259703368
149	55	0.018890068699450542
14	52	0.01794721360007922
150	54	0.019733454450033605
151	48	0.02197285641450435
152	52	0.021501165349036455
153	46	0.02068244389956817
154	41	0.01861575203171621
155	39	0.022684812402197472
156	44	0.021055367833469063
157	23	0.009201923916892459
158	27	0.01219285932990412
159	15	0.004921171247648696
15	52	0.01651695988451441
160	27	0.00941094138349096
161	37	0.013281687702207516
162	28	0.014772087696474045
163	40	0.017381193415106584
164	34	0.012201066315174102
165	44	0.01411692569963634
166	48	0.026386446532948565
167	48	0.02433484111679718
168	49	0.02439993991671751
169	52	0.017787239432800563
16	53	0.01796337136765942
170	47	0.017409231114046027
171	45	0.01705430788376058
172	50	0.017858582785508285
173	47	0.014152490417473018
174	48	0.01440477614911894
175	51	0.020654362967858712
176	50	0.017569457149753966
177	55	0.016981049083794157
178	51	0.01936069269819806
179	55	0.016298629619025937
17	57	0.019611431867815554
180	52	0.02079728984972462
181	59	0.021661873580887912
182	50	0.018789384847817323
183	56	0.022464606899302453
184	54	0.03193986371625215
185	54	0.018157253232008466
186	54	0.019033503082270423
187	54	0.026416197415286054
188	56	0.01972541803261265
189	46	0.020745069882832468
18	55	0.0233830091659911
190	54	0.029852151583569745
191	49	0.016571623731094103
192	49	0.015615069784689694
193	52	0.016814428082822512
194	45	0.019695282001824427
195	51	0.020189743066051355
196	49	0.020851274998858572
197	53	0.018710105101733158
198	53	0.02314527059982841
199	53	0.018169023899827153
19	48	0.02389823834722241
1	53	0.028258711165593316
200	45	0.01575671350195383
201	54	0.021481998167776812
202	54	0.01910443298596268
203	53	0.022655002400279046
204	51	0.021332561414844044
205	54	0.021197335984713087
206	54	0.023664341401308776
207	54	0.022680094834261883
208	47	0.01424251386585335
209	52	0.019914982068197182
20	48	0.02091126536640028
210	55	0.018507872083379576
211	52	0.025563801149837674
212	50	0.021844471199437977
213	49	0.02550288998366644
214	40	0.027682555816136302
215	30	0.009757185215130448
216	26	0.012920061483358343
217	31	0.015641139533060292
218	19	0.01088623608617733
219	17	0.00810731128246213
21	48	0.014531263317136715
220	22	0.008207771151016155
221	25	0.010302061199521024
222	39	0.011818304452269028
223	48	0.01916121906445672
224	41	0.01945348218238602
225	36	0.01670812173591306
226	41	0.02284862951685985
227	37	0.021025554486550392
228	37	0.014696178713347764
229	43	0.015623240099133302
22	50	0.020075806486420333
230	51	0.021962945516376446
231	51	0.020961502132316432
232	50	0.017228900031962743
233	46	0.01942088739791264
234	40	0.014292190483926485
235	53	0.020781807702345154
236	45	0.014006626516735803
237	57	0.02050890343186135
238	48	0.014863388019148261
239	50	0.0178121531343398
23	50	0.02155912685363243
240	58	0.0206963625154458
241	52	0.01525881871348247
242	50	0.016056208483253915
243	51	0.01634741364978254
244	55	0.01632716628179575
245	55	0.022490824499012282
246	53	0.02006663178326562
247	48	0.016354055683283755
248	8	0.0029792954175112147
249	1	0.00027924459815646213
24	50	0.024677396934324254
250	1	0.0002853352149638037
25	43	0.01724482454980413
26	46	0.016244336132270595
27	49	0.017470863333437593
28	47	0.020954055866847437
29	50	0.013735846216635157
2	54	0.02743601695013543
30	53	0.02578100919878731
31	45	0.01769521036573375
32	40	0.017706680650978038
33	39	0.019533335498999806
34	21	0.008809189250071844
35	20	0.014276691464086373
36	25	0.008597915867964427
37	40	0.028737315733451396
38	40	0.021019502131578823
39	46	0.027990634848053256
3	57	0.021878926816862078
40	42	0.017528697468029954
41	41	0.02179493513346339
42	47	0.024856148081986853
43	53	0.02693427964889755
44	42	0.027238583017606288
45	51	0.026908026783106227
46	35	0.02809421953279525
47	32	0.022501734935212882
48	40	0.020748934250635405
49	42	0.02163015166685606
4	55	0.018360896486168107
50	37	0.022591251301734398
51	43	0.02551584350100408
52	45	0.020355572982225567
53	47	0.02205059569872295
54	38	0.017217631032690407
55	49	0.042716923534559706
56	48	0.018881175535110137
57	44	0.016151759369919697
58	45	0.024030925197682032
59	51	0.029248114151414484
5	54	0.020825270152029892
60	50	0.02266950896785905
61	53	0.024886514347357055
62	55	0.023998731068180252
63	51	0.01995097879941265
64	51	0.02830264523314933
65	52	0.024536927715719987
66	55	0.03126716514816508
67	52	0.028920213882035264
68	39	0.022658044515022388
69	39	0.019187573882906386
6	45	0.018119614152237774
70	23	0.00863848216831684
71	12	0.0050153257674537596
72	43	0.015391171917629738
73	20	0.010760410502552987
74	14	0.007967958967977513
75	37	0.017518169599740455
76	49	0.02770800913373629
77	41	0.020915928083316732
78	45	0.026709433683815103
79	53	0.023902031150646506
7	47	0.020343077749324343
80	47	0.023093100163775186
81	50	0.01473162059749787
82	45	0.017290200898423792
83	45	0.016733860465077063
84	50	0.025405433517880736
85	52	0.031069727331244697
86	47	0.023177980084437878
87	42	0.014423195431785036
88	46	0.016136524015261482
89	49	0.017730277183
8	56	0.018387722868161895
90	48	0.02357222846864412
91	54	0.022406335815321653
92	50	0.019711229651390265
93	57	0.02310417688374097
94	53	0.027473486835757892
95	52	0.018263567782317598
96	56	0.019352788800218453
97	57	0.018346656385498743
98	52	0.02040102510169769
99	55	0.02201758118268723
9	50	0.02602070869955545
